Well,528/20,590/20
A1,939
B1,4124
C1,7210
D1,1
E1,0
F1,2
G1,2
H1,894
A2,895
B2,3391
C2,5968
D2,2
E2,1
F2,1
G2,2
H2,835
A3,829
B3,1668
C3,2137
D3,1
E3,1
F3,2
G3,1
H3,862
A4,278
B4,1222
C4,2129
D4,0
E4,1
F4,0
G4,2
H4,1
A5,222
B5,439
C5,587
D5,0
E5,1
F5,1
G5,2
H5,2
A6,228
B6,559
C6,767
D6,1
E6,1
F6,3
G6,2
H6,1
A7,892
B7,2245
C7,4212
D7,1
E7,1
F7,2
G7,3
H7,1
A8,886
B8,2009
C8,3454
D8,1
E8,1
F8,2
G8,2
H8,1
A9,908
B9,1361
C9,1979
D9,1
E9,2
F9,1
G9,1
H9,0
A10,215
B10,846
C10,1432
D10,1
E10,1
F10,2
G10,2
H10,0
A11,223
B11,601
C11,952
D11,1
E11,0
F11,0
G11,1
H11,1
A12,215
B12,456
C12,799
D12,0
E12,1
F12,1
G12,2
H12,1

